AgentId,Start,Seed,Floor,Reward,Steps,Time
11,0,25,0,0.0,601,15401.2460822
37,0,21,3,3.8,1201,15370.9199521
40,0,24,3,3.6,1201,15367.058541299999
7,0,96,2,2.3,1001,15401.4885236
39,0,46,3,3.8,1201,15364.5837619
15,0,0,3,3.8,1201,15387.971442499998
13,0,48,2,2.2,1001,15389.6301173
12,0,67,1,1.0,801,15391.1481909
30,0,49,1,1.2,801,15367.9213666
32,0,79,2,2.2,1001,15365.7170384
38,0,15,1,1.2,304,15359.338499700001
25,0,4,0,0.0,601,15373.768090599999
24,0,95,1,1.0,801,15370.0000007
0,0,18,1,1.2,801,15395.741335699999
44,0,47,1,1.2,801,15350.975102
21,0,48,2,2.4,1001,15370.315848999999
41,0,3,0,0.0,601,15349.4368076
14,0,40,1,1.2,801,15375.727074100001
4,0,63,2,2.6,1101,15384.0971032
42,0,1,1,1.2,801,15346.7751567
27,0,66,2,2.5,1001,15359.234161499999
5,0,48,1,1.2,801,15378.0938974
20,0,35,1,1.2,801,15362.649083999999
45,0,76,3,3.8,1201,15332.4727929
6,0,93,2,2.4,1301,15370.365949699999
43,0,63,1,1.2,801,15332.8483205
23,0,96,2,2.2,1001,15355.0080666
38,0,46,3,3.8,1401,15334.4668579
3,0,79,1,1.2,801,15370.695950899999
48,0,97,2,2.4,1001,15322.106144399999
19,0,41,0,0.0,601,15350.2927418
8,0,67,1,1.2,801,15359.439934499998
10,0,77,2,2.2,1001,15357.9597134
18,0,99,1,1.2,801,15347.397194399999
22,0,57,1,1.2,801,15340.6835483
26,0,85,0,0.0,601,15335.9444934
16,0,52,1,1.2,801,15344.3052993
1,0,14,1,1.2,801,15359.0054439
11,0,16,1,1.0,801,15351.4367044
17,0,89,1,1.2,801,15336.258678499998
2,0,75,2,2.4,1101,15352.2014962
47,0,18,0,0.0,601,15303.505092099998
9,0,13,1,1.0,801,15340.514307399999
25,0,67,2,2.5,1001,15325.4603916
29,0,76,3,4.0,1301,15316.7353819
41,0,87,1,1.0,801,15301.4693582
28,0,24,2,2.5,1001,15311.0571568
49,0,12,1,1.2,801,15287.4581826
12,0,69,1,1.0,801,15327.787640699999
30,0,61,1,1.0,801,15303.8195683
36,0,19,3,3.7,1201,15296.9231608
33,0,51,1,1.2,801,15298.172156300001
24,0,28,2,2.2,1001,15306.873126100001
0,0,22,1,1.1,801,15332.618635699999
44,0,60,1,1.2,801,15287.8255187
14,0,53,1,1.0,801,15313.0072919
46,0,31,2,2.3,1001,15280.241332599999
